Kennziffer;Raumeinheit;Aggregat;Beschäftigte Tertiärer Sektor;Bandbreitenverfügbarkeit mindestens 50 Mbit/s
"07141";"Rhein-Lahn-Kreis";"Kreise";"65,73";"92,33"
"07143";"Westerwaldkreis";"Kreise";"58,40";"94,81"
"07211";"Trier, kreisfreie Stadt";"Kreise";"80,97";"98,26"
"07231";"Bernkastel-Wittlich";"Kreise";"56,59";"90,83"
"07232";"Eifelkreis Bitburg-Prüm";"Kreise";"58,05";"91,73"
"07233";"Vulkaneifel";"Kreise";"62,37";"89,39"
"07235";"Trier-Saarburg";"Kreise";"64,47";"94,98"
"07311";"Frankenthal (Pfalz), kreisfreie Stadt";"Kreise";"68,80";"99,64"
"07312";"Kaiserslautern, kreisfreie Stadt";"Kreise";"79,05";"96,64"
"07313";"Landau in der Pfalz, kreisfreie Stadt";"Kreise";"82,47";"99,03"
"07314";"Ludwigshafen am Rhein, kreisfreie Stadt";"Kreise";"53,99";"99,67"
"07315";"Mainz, kreisfreie Stadt";"Kreise";"87,74";"99,08"
"07316";"Neustadt an der Weinstraße, kreisfreie Stadt";"Kreise";"82,01";"96,82"
"07317";"Pirmasens, kreisfreie Stadt";"Kreise";"71,39";"98,33"
"07318";"Speyer, kreisfreie Stadt";"Kreise";"77,17";"99,40"
"07319";"Worms, kreisfreie Stadt";"Kreise";"72,19";"98,68"
"07320";"Zweibrücken, kreisfreie Stadt";"Kreise";"66,35";"96,00"
"07331";"Alzey-Worms";"Kreise";"67,95";"96,34"
"07332";"Bad Dürkheim";"Kreise";"72,85";"95,93"
"07333";"Donnersbergkreis";"Kreise";"60,13";"77,49"
"07334";"Germersheim";"Kreise";"55,76";"95,02"
"07335";"Kaiserslautern";"Kreise";"74,19";"81,29"
"07336";"Kusel";"Kreise";"69,35";"80,57"
"07337";"Südliche Weinstraße";"Kreise";"66,93";"88,60"
"07338";"Rhein-Pfalz-Kreis";"Kreise";"64,32";"98,78"
"07339";"Mainz-Bingen";"Kreise";"66,48";"98,74"
"07340";"Südwestpfalz";"Kreise";"64,42";"91,61"
"08111";"Stuttgart, Stadtkreis";"Kreise";"76,99";"97,75"
"08115";"Böblingen";"Kreise";"62,50";"98,33"
"08116";"Esslingen";"Kreise";"61,65";"95,26"
"08117";"Göppingen";"Kreise";"59,26";"97,48"
"08118";"Ludwigsburg";"Kreise";"64,44";"97,94"
"08119";"Rems-Murr-Kreis";"Kreise";"61,23";"93,44"
"08121";"Heilbronn, Stadtkreis";"Kreise";"76,66";"93,08"
"08125";"Heilbronn";"Kreise";"54,02";"94,97"
"08126";"Hohenlohekreis";"Kreise";"51,95";"89,02"
"08127";"Schwäbisch Hall";"Kreise";"53,55";"89,60"
"08128";"Main-Tauber-Kreis";"Kreise";"54,17";"98,15"
"08135";"Heidenheim";"Kreise";"54,29";"95,59"
"08136";"Ostalbkreis";"Kreise";"53,58";"92,37"
"08211";"Baden-Baden, Stadtkreis";"Kreise";"75,96";"98,66"
"08212";"Karlsruhe, Stadtkreis";"Kreise";"84,76";"99,03"
"08215";"Karlsruhe";"Kreise";"64,74";"96,87"
"08216";"Rastatt";"Kreise";"48,84";"96,20"
"08221";"Heidelberg, Stadtkreis";"Kreise";"86,45";"94,79"
"08222";"Mannheim, Stadtkreis";"Kreise";"73,23";"98,98"
"08225";"Neckar-Odenwald-Kreis";"Kreise";"58,19";"95,84"
"08226";"Rhein-Neckar-Kreis";"Kreise";"72,30";"96,25"
"08231";"Pforzheim, Stadtkreis";"Kreise";"71,61";"98,87"
"08235";"Calw";"Kreise";"64,97";"84,31"
"08236";"Enzkreis";"Kreise";"46,79";"93,49"
"08237";"Freudenstadt";"Kreise";"53,55";"91,51"
"08311";"Freiburg im Breisgau, Stadtkreis";"Kreise";"86,55";"98,92"
"08315";"Breisgau-Hochschwarzwald";"Kreise";"61,86";"90,52"
"08316";"Emmendingen";"Kreise";"56,62";"96,49"
"08317";"Ortenaukreis";"Kreise";"61,78";"94,87"
"08325";"Rottweil";"Kreise";"48,45";"97,26"
"08326";"Schwarzwald-Baar-Kreis";"Kreise";"56,74";"94,71"
"08327";"Tuttlingen";"Kreise";"37,91";"96,56"
"08335";"Konstanz";"Kreise";"70,75";"93,01"
"08336";"Lörrach";"Kreise";"62,31";"89,16"
"08337";"Waldshut";"Kreise";"63,13";"75,41"
"08415";"Reutlingen";"Kreise";"60,65";"95,85"
"08416";"Tübingen";"Kreise";"72,92";"96,68"
"08417";"Zollernalbkreis";"Kreise";"52,29";"93,03"
"08421";"Ulm, Stadtkreis";"Kreise";"75,76";"98,69"
"08425";"Alb-Donau-Kreis";"Kreise";"52,18";"91,75"
"08426";"Biberach";"Kreise";"44,84";"93,48"
"08435";"Bodenseekreis";"Kreise";"54,48";"93,55"
"08436";"Ravensburg";"Kreise";"62,57";"86,23"
"08437";"Sigmaringen";"Kreise";"56,26";"89,92"
"09161";"Ingolstadt";"Kreise";"48,67";"98,84"
"09162";"München, Landeshauptstadt";"Kreise";"84,71";"99,41"
"09163";"Rosenheim, Stadt";"Kreise";"80,38";"100,00"
"09171";"Altötting";"Kreise";"47,28";"96,14"
"09172";"Berchtesgadener Land";"Kreise";"68,37";"89,12"
"09173";"Bad Tölz-Wolfratshausen";"Kreise";"65,52";"95,20"
"09174";"Dachau";"Kreise";"72,90";"98,01"
"09175";"Ebersberg";"Kreise";"77,00";"96,56"
"09176";"Eichstätt";"Kreise";"63,89";"94,05"
"09177";"Erding";"Kreise";"77,01";"94,92"
"09178";"Freising";"Kreise";"80,03";"96,34"
"09179";"Fürstenfeldbruck";"Kreise";"73,94";"99,33"
"09180";"Garmisch-Partenkirchen";"Kreise";"82,72";"98,35"
"09181";"Landsberg am Lech";"Kreise";"66,67";"94,19"
"09182";"Miesbach";"Kreise";"68,47";"94,87"
"09183";"Mühldorf a.Inn";"Kreise";"56,38";"95,60"
"09184";"München";"Kreise";"78,74";"98,57"
"09185";"Neuburg-Schrobenhausen";"Kreise";"53,31";"81,64"
"09186";"Pfaffenhofen a.d.Ilm";"Kreise";"60,65";"93,68"
"09187";"Rosenheim";"Kreise";"65,19";"95,48"
"09188";"Starnberg";"Kreise";"68,63";"98,37"
"09189";"Traunstein";"Kreise";"55,27";"94,64"
"09190";"Weilheim-Schongau";"Kreise";"54,94";"95,32"
"09261";"Landshut, Stadt";"Kreise";"81,24";"99,32"
"09262";"Passau, Stadt";"Kreise";"76,02";"99,91"
"09263";"Straubing";"Kreise";"75,45";"99,37"
"09271";"Deggendorf";"Kreise";"58,33";"91,23"
"09272";"Freyung-Grafenau";"Kreise";"53,93";"89,78"
"09273";"Kelheim";"Kreise";"55,04";"96,24"
"09274";"Landshut";"Kreise";"53,01";"89,18"
"09275";"Passau";"Kreise";"56,61";"92,25"
"09276";"Regen";"Kreise";"53,35";"89,59"
"09277";"Rottal-Inn";"Kreise";"60,74";"89,42"
"09278";"Straubing-Bogen";"Kreise";"50,35";"91,64"
"09279";"Dingolfing-Landau";"Kreise";"40,63";"92,31"
"09361";"Amberg";"Kreise";"59,09";"99,06"
"09362";"Regensburg, Stadt";"Kreise";"69,45";"99,69"
"09363";"Weiden i.d.OPf.";"Kreise";"80,26";"99,75"
"09371";"Amberg-Sulzbach";"Kreise";"57,57";"94,75"
"09372";"Cham";"Kreise";"49,97";"70,49"
"09373";"Neumarkt i.d.OPf.";"Kreise";"57,13";"96,32"
"09374";"Neustadt a.d.Waldnaab";"Kreise";"50,71";"96,10"
"09375";"Regensburg";"Kreise";"60,20";"97,11"
"09376";"Schwandorf";"Kreise";"56,42";"88,48"
"09377";"Tirschenreuth";"Kreise";"47,69";"96,86"
"09461";"Bamberg, Stadt";"Kreise";"69,96";"99,14"
"09462";"Bayreuth, Stadt";"Kreise";"77,57";"99,18"
"09463";"Coburg, Stadt";"Kreise";"69,93";"99,32"
"09464";"Hof, Stadt";"Kreise";"79,79";"99,28"
"09471";"Bamberg";"Kreise";"56,81";"94,34"
"09472";"Bayreuth";"Kreise";"58,92";"96,56"
"09473";"Coburg";"Kreise";"51,22";"97,92"
"09474";"Forchheim";"Kreise";"59,54";"96,53"
"09475";"Hof";"Kreise";"50,06";"86,10"
"09476";"Kronach";"Kreise";"48,00";"92,43"
"09477";"Kulmbach";"Kreise";"57,63";"97,69"
"09478";"Lichtenfels";"Kreise";"64,71";"97,38"
"09479";"Wunsiedel i.Fichtelgebirge";"Kreise";"54,69";"96,43"
"09561";"Ansbach, Stadt";"Kreise";"73,49";"98,45"
"09562";"Erlangen";"Kreise";"74,81";"98,94"
"09563";"Fürth, Stadt";"Kreise";"73,53";"99,72"
"09564";"Nürnberg";"Kreise";"80,02";"99,40"
"09565";"Schwabach";"Kreise";"64,11";"99,48"
"09571";"Ansbach";"Kreise";"50,03";"95,01"
"09572";"Erlangen-Höchstadt";"Kreise";"51,14";"98,59"
"09573";"Fürth";"Kreise";"62,68";"98,81"
"09574";"Nürnberger Land";"Kreise";"59,64";"96,10"
"09575";"Neustadt a.d.Aisch-Bad Windsheim";"Kreise";"62,66";"95,62"
"09576";"Roth";"Kreise";"59,15";"95,76"
"09577";"Weißenburg-Gunzenhausen";"Kreise";"59,22";"94,86"
"09661";"Aschaffenburg, Stadt";"Kreise";"73,85";"99,51"
"09662";"Schweinfurt, Stadt";"Kreise";"49,78";"98,70"
"09663";"Würzburg, Stadt";"Kreise";"87,15";"97,61"
"09671";"Aschaffenburg";"Kreise";"59,52";"97,38"
"09672";"Bad Kissingen";"Kreise";"69,09";"92,30"
"09673";"Rhön-Grabfeld";"Kreise";"56,45";"96,30"
"09674";"Haßberge";"Kreise";"48,65";"95,58"
"09675";"Kitzingen";"Kreise";"58,86";"97,52"
"09676";"Miltenberg";"Kreise";"53,34";"97,62"
"09677";"Main-Spessart";"Kreise";"45,34";"96,59"
"09678";"Schweinfurt";"Kreise";"72,07";"96,64"
"09679";"Würzburg";"Kreise";"64,77";"97,12"
"09761";"Augsburg, Stadt";"Kreise";"76,89";"98,60"
"09762";"Kaufbeuren";"Kreise";"74,29";"99,44"
"09763";"Kempten (Allgäu)";"Kreise";"80,10";"99,14"
"09764";"Memmingen";"Kreise";"60,24";"98,69"
"09771";"Aichach-Friedberg";"Kreise";"60,23";"93,28"
"09772";"Augsburg";"Kreise";"63,09";"95,94"
"09773";"Dillingen a.d.Donau";"Kreise";"55,62";"93,64"
"09774";"Günzburg";"Kreise";"59,58";"94,49"
"09775";"Neu-Ulm";"Kreise";"60,88";"96,58"
